PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCcond,CR,LNDRSC,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPRIC,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPBAN,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPCAF,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPSUG,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPMOL,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPPLM,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPPIN,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPORG,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPFRT,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPVEG,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPOTG,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPLEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPCAR,,,,,,,,,,1
OperationalLife,NDCcond,CR,IMPWOD,,,,,,,,,,1
OperationalLife,NDCcond,CR,PROPOR,,,,,,,,,,1
OperationalLife,NDCcond,CR,PROCHI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANWETPRI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANMSTPRI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANDRYPRI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANMGRPRI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANPLMPRI,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANWETSEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANMSTSEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANDRYSEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANMGRSEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,BOSMANPLMSEC,,,,,,,,,,1
OperationalLife,NDCcond,CR,DEFANTWETPRI,,,,,,,,,,1
