PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,NDCincond,CR,LNDRSC,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPRIC,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPBAN,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPCAF,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPSUG,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPMOL,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPPLM,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPPIN,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPORG,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPFRT,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPVEG,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPOTG,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPLEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPCAR,,,,,,,,,,1
OperationalLife,NDCincond,CR,IMPWOD,,,,,,,,,,1
OperationalLife,NDCincond,CR,PROPOR,,,,,,,,,,1
OperationalLife,NDCincond,CR,PROCHI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANWETPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANMSTPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANDRYPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANMGRPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANPLMPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANWETSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANMSTSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANDRYSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANMGRSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,BOSMANPLMSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTWETPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTMSTPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTDRYPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTMGRPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTPLMPRI,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTWETSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTMSTSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTDRYSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTMGRSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFANTPLMSEC,,,,,,,,,,1
OperationalLife,NDCincond,CR,DEFNONANTWETPRI,,,,,,,,,,1
