PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2018,,,,,,0.239707
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2019,,,,,,0.236224
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2020,,,,,,0.239972
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2021,,,,,,0.234256
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2022,,,,,,0.234146
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2023,,,,,,0.262062
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2024,,,,,,0.253555
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2025,,,,,,0.254822775
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2026,,,,,,0.256096888875
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2027,,,,,,0.256096888875
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2028,,,,,,0.2571212764305
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2029,,,,,,0.2571212764305
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2030,,,,,,0.258149761536222
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2031,,,,,,0.2578926402597915
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2032,,,,,,0.25892421082083067
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2033,,,,,,0.25866631818057084
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2034,,,,,,0.2597009834532932
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2035,,,,,,0.259183650816932
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2036,,,,,,0.26022038542019976
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2037,,,,,,0.25970201811856586
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2038,,,,,,0.26074082619104016
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2039,,,,,,0.260221422154803
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2040,,,,,,0.2610015670172312
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2041,,,,,,0.2604816435769578
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2042,,,,,,0.26126256858424846
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2043,,,,,,0.26074212522053475
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2044,,,,,,0.26126256858424846
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2045,,,,,,0.26074212522053475
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2046,,,,,,0.26126256858424846
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2047,,,,,,0.2604813830953142
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2048,,,,,,0.2610013060156642
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2049,,,,,,0.2599604203291236
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRRIC,,,2050,,,,,,0.26047930340363284
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2018,,,,,,0.14102199019
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2019,,,,,,0.14214366069999998
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2020,,,,,,0.14300453948999997
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2021,,,,,,0.14374875277
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2022,,,,,,0.14451991717
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2023,,,,,,0.14539766871999998
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2024,,,,,,0.1462171866
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2025,,,,,,0.146948272533
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2026,,,,,,0.147683013895665
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2027,,,,,,0.14842142896514332
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2028,,,,,,0.1490151146810039
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2029,,,,,,0.1496111751397279
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2030,,,,,,0.15020961984028683
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2031,,,,,,0.15066024869980768
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2032,,,,,,0.1511122294459071
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2033,,,,,,0.15156556613424482
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2034,,,,,,0.15202026283264755
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2035,,,,,,0.15232430335831285
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2036,,,,,,0.15262895196502946
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2037,,,,,,0.1529342098689595
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2038,,,,,,0.15324007828869743
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2039,,,,,,0.15354655844527482
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2040,,,,,,0.15370010500372008
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2041,,,,,,0.1538538051087238
SpecifiedAnnualDemand,NDCincond,CR,,E5AGRBAN,,,2042,,,,,,0.1540076589138325
