PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2018,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2019,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2020,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2021,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2022,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2023,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2024,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2025,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2026,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2027,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2028,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2029,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2030,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2031,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2032,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2033,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2034,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2035,,,,,,999.0
TotalTechnologyAnnualActivityUpperLimit,NDCincond,CR,IMPRIC,,,,2036,,,,,,999.0
